Code,Name,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases
USA,United States,3961429,,143834 ,,1967606
BRA,Brazil,2121645,,80251 ,,632192
IND,India,1154917,,28099 ,,402116
RUS,Russia,777486,,12427 ,,211457
ZAF,South Africa,373628,,5173 ,,173590
PER,Peru,357681,,13384 ,,99216
MEX,Mexico,349396,+5172,39485 ,+301,87843
CHL,Chile,333029,,8633 ,,20404
ESP,Spain,311916,,28422 ,,N/A
GBR,United Kingdom,295372,,45312 ,,N/A
IRN,Iran,276202,,14405 ,,21710
PAK,Pakistan,265083,,5599 ,,53555
SAU,Saudi Arabia,253349,,2523 ,,47567
ITA,Italy,244624,,35058 ,,12404
TUR,Turkey,220572,,5508 ,,12062
BGD,Bangladesh,207453,,2668 ,,91229
COL,Colombia,204005,,6929 ,,101272
DEU,Germany,203487,,9173 ,,6514
FRA,France,176754,,30177 ,,67344
ARG,Argentina,130774,,2373 ,,72488
CAN,Canada,111124,,8858 ,,4792
QAT,Qatar,107037,,159 ,,3096
IRQ,Iraq,94693,,3869 ,,27988
EGY,Egypt,88402,,4352 ,,55126
IDN,Indonesia,88214,,4239 ,,36998
SWE,Sweden,78048,,5639 ,,N/A
ECU,Ecuador,74620,,5318 ,,37347
KAZ,Kazakhstan,71838,,585 ,,28224
PHL,Philippines,68898,,1835 ,,43991
OMN,Oman,68400,,326 ,,22924
BLR,Belarus,66213,,503 ,,7420
BEL,Belgium,63893,,9800 ,,36804
KWT,Kuwait,59763,,408 ,,9016
BOL,Bolivia,59582,,2151 ,,38878
UKR,Ukraine,59493,,1498 ,,26556
ARE,United Arab Emirates,57193,,340 ,,7232
PAN,Panama,54426,,1127 ,,24135
DOM,Dominican Republic,53956,,993 ,,27402
ISR,Israel,52003,,415 ,,29434
NLD,Netherlands,51910,,6136 ,,N/A
PRT,Portugal,48771,,1691 ,,13533
SGP,Singapore,48035,,27 ,,3637
POL,Poland,40383,,1627 ,,8217
GTM,Guatemala,39039,,1502 ,,11998
ROU,Romania,38139,,2038 ,,13354
NGA,Nigeria,37225,,801 ,,21091
BHR,Bahrain,36936,,128 ,,3843
AFG,Afghanistan,35526,,1185 ,,10600
ARM,Armenia,34981,,650 ,,10829
HND,Honduras,33835,,900  ,,29134
CHE,Switzerland,33634,,1971 ,,1363
GHA,Ghana,28430,,153 ,,3376
AZE,Azerbaijan,27890,,363 ,,8037
KGZ,Kyrgyz Republic,27143,,1037 ,,12997
IRL,Ireland,25766,,1753 ,,649
JPN,Japan,25096,,985 ,,4354
DZA,Algeria,23691,,1087 ,,6204
SRB,Serbia,21253,,482 ,,6724
MDA,Moldova,21115,,695 ,,5953
AUT,Austria,19743,,711 ,,1373
NPL,Nepal,17844,,40 ,,5936
MAR,Morocco,17562,,276 ,,2154
UZB,Uzbekistan,17149,,90 ,,7672
CMR,Cameroon,16157,,373 ,,2056
CIV,Cote d'Ivoire,14312,,92 ,,5561
CZE,Czech Republic,14098,,359 ,,4903
KOR,South Korea,13771,,296 ,,903
KEN,Kenya,13771,,238 ,,7917
DNK,Denmark,13262,,611 ,,400
AUS,Australia,12428,+359,126 ,+3,3858
VEN,Venezuela,12334,,116 ,,5374
SLV,El Salvador,12207,,344 ,,5032
CRI,Costa Rica,11534,,66 ,,8449
SDN,Sudan,10992,,693 ,,4592
ETH,Ethiopia,10207,,170 ,,7607
MKD,Macedonia,9249,,432 ,,3946
NOR,Norway,9034,,255 ,,641
SEN,Senegal,8948,,170 ,,2776
BGR,Bulgaria,8929,,308 ,,4416
PSE,Palestine,8916,,63 ,,6932
MYS,Malaysia,8800,,123 ,,122
BIH,Bosnia and Herzegovina,8479,,255 ,,4469
COD,DR Congo,8443,,194 ,,3914
FIN,Finland,7340,,328 ,,132
MDG,Madagascar,7153,,62 ,,3303
HTI,Haiti,7053,,146 ,,3030
TJK,Tajikistan,6921,,57 ,,1235
GUF,French Guiana,6745,,38 ,,1993
GIN,Guinea,6590,,40 ,,959
GAB,Gabon,6433,,46 ,,2353
MRT,Mauritania,5923,,155 ,,2136
LUX,Luxembourg,5639,,111 ,,1064
DJI,Djibouti,5020,,56 ,,96
CAF,Central African Republic,4548,,55 ,,3093
HRV,Croatia,4370,,122 ,,1147
HUN,Hungary,4339,,596 ,,511
ALB,Albania,4171,,113 ,,1706
GRC,Greece,4012,,195 ,,2443
PRY,Paraguay,3748,,33 ,,1544
ZMB,Zambia,3326,,128 ,,1578
THA,Thailand,3250,,58 ,,96
NIC,Nicaragua,3147,,99 ,,766
SOM,Somalia,3130,,93 ,,1575
GNQ,Equatorial Guinea,3071,,51 ,,2178
MDV,Maldives,2999,,15 ,,615
MWI,Malawi,2992,,62 ,,1777
LBN,Lebanon,2905,,41 ,,1302
COG,Congo Republic,2851,,50 ,,2135
MYT,Mayotte,2808,,38 ,,179
LKA,Sri Lanka,2730,,11 ,,678
MLI,Mali,2475,,121 ,,503
CUB,Cuba,2446,,87 ,,51
SSD,South Sudan,2211,,45 ,,991
MNE,Montenegro,2188,,32 ,,1771
CPV,Cabo Verde,2071,,21 ,,987
EST,Estonia,2021,,69 ,,40
LBY,Libya,1980,,49 ,,1490
SVK,Slovakia,1980,,28 ,,414
HKG,Hong Kong,1959,,12 ,,645
SVN,Slovenia,1953,,113 ,,237
GNB,Guinea-Bissau,1949,,26 ,,1120
LTU,Lithuania,1947,,80 ,,266
ISL,Iceland,1930,,10 ,,13
SWZ,Eswatini,1826,,23 ,,953
ZWE,Zimbabwe,1713,,26 ,,1215
SLE,Sierra Leone,1711,,66 ,,384
