Code,Name,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases
NY,New York ,438196 ,"
+667 ","
32662 ",+6 ,"
135478 "
CA,California ,435334 ,"
+2989 ","
8208 ",+6 ,"
295400 "
FL,Florida ,402312 ,"
+12444 ","
5653 ",+133 ,"
355939 "
TX,Texas ,379312 ,"
+1916 ","
4806 ",+44 ,"
170680 "
NJ,New Jersey ,184211 ,"
+182 ","
 15837 ",+29 ,"
51864 "
IL,Illinois ,169699 ,"
+1599 ","
7577 ",+17 ,"
22149 "
GA,Georgia ,161401 ,"
+4813 ","
3442 ",+82 ,"
132140 "
AZ,Arizona ,156301 ,"
+3357 ","
3142 ",+79  ,"
133422 "
MA,Massachusetts ,114647 ,"
","
8484 ", ,"
9711 "
PA,Pennsylvania ,110342 ,"
+1189 ","
7183 ",+19 ,"
24891 "
NC,North Carolina ,109259 ,"
+2341 ","
1774 ",+25 ,"
28778 "
LA,Louisiana ,103734 ,"
+2084 ","
3720 ",+30 ,"
38558 "
TN,Tennessee ,89078 ,"
+2091 ","
938 ",+13 ,"
35157 "
MI,Michigan ,85072 ,"
+641 ","
6400 ",+5 ,"
23510 "
VA,Virginia ,82364 ,"
+1127 ","
2067 ",+13 ,"
69721 "
OH,Ohio ,81779 ,"
+1550 ","
3306 ",+38 ,"
21650 "
MD,Maryland ,81766 ,"
+930 ","
3422 ",+13 ,"
72910 "
SC,South Carolina ,78607 ,"
+2001 ","
1385 ",+51 ,"
50160 "
AL,Alabama ,76005 ,"
+1793 ","
1438 ",+41 ,"
42057 "
IN,Indiana ,60598 ,"
+996 ","
2884 ",+4 ,"
15111 "
WA,Washington ,51573 ,"
+43 ","
1488 ", ,"
33157 "
MS,Mississippi ,49663 ,"
+1610  ","
1463 ",+27 ,"
17885 "
MN,Minnesota ,49488 ,"
+767 ","
1606 ",+5 ,"
5000 "
CT,Connecticut ,48232 ,"
","
4410 ", ,"
21973 "
WI,Wisconsin ,46917 ,"
+1018 ","
878 ", ,"
9706 "
CO,Colorado ,42314 ,"
","
1786 ", ,"
24889 "
IA,Iowa ,41137 ,"
+484 ","
821 ",+1 ,"
11112 "
NV,Nevada ,40885 ,"
+966 ","
722 ",+13 ,"
15258 "
MO,Missouri ,39673 ,"
","
1214 ", ,"
30737 "
AR,Arkansas ,37249 ,"
+990 ","
394 ",+8 ,"
7991 "
UT,Utah ,36962 ,"
+863 ","
273 ",+6 ,"
12974 "
OK,Oklahoma ,29116 ,"
+314 ","
484 ",+7 ,"
5355 "
KY,Kentucky ,25147 ,"
","
684 ", ,"
17417 "
KS,Kansas ,24408 ,"
","
 326 ",+4 ,"
10497 "
NE,Nebraska ,23818 ,"
","
316 ", ,"
5757 "
RI,Rhode Island ,18224 ,"
+76 ","
1002 ",+1 ,"
15463 "
NM,New Mexico ,18163 ,"
","
596 ", ,"
10511 "
ID,Idaho ,16736 ,"
","
138 ", ,"
11590 "
OR,Oregon ,16104 ,"
+391 ","
282 ",+9 ,"
12313 "
DE,Delaware ,14202 ,"
 +278 ","
578 ",+49 ,"
5731 "
DC,District Of Columbia ,11649 ,"
+78 ","
581 ", ,"
9048 "
SD,South Dakota ,8200 ,"
+57 ","
122 ",+1 ,"
817 "
NH,New Hampshire ,6318 ,"
","
405 ", ,"
568 "
WV,West Virginia ,5653 ,"
+103 ","
103 ", ,"
1604 "
ND,North Dakota ,5614 ,"
+121 ","
99 ",+2 ,"
970 "
ME,Maine ,3757 ,"
+20 ","
118 ", ,"
380 "
MT,Montana ,3039 ,"
+129 ","
46 ",+3 ,"
1178 "
WY,Wyoming ,2346 ,"
","
25 ", ,"
527 "
AK,Alaska ,2192 ,"
","
19 ", ,"
1375 "
HI,Hawaii ,1490 ,"
","
26 ", ,"
339 "
VT,Vermont ,1385 ,"
+8 ","
56 ", ,"
173 "
