Code,Name,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases
NY,New York ,433774 ,+460 ,32570 ,+18 ,162739 
CA,California ,387510 ,+4542 ,7702  , ,275466 
FL,Florida ,350047 ,+12478 ,4985 ,+87 ,307652 
TX,Texas ,331545 ,+1044 ,4009 ,+2 ,157955 
NJ,New Jersey ,182936 ,,15776  , ,65080 
IL,Illinois ,162750 ,+965 ,7488 ,+5 ,16752 
AZ,Arizona ,143624 ,+2359 ,2761 ,+31 ,123202 
GA,Georgia ,143123 ,+3251 ,3173 ,+5  ,117575 
MA,Massachusetts ,113238 ,,8419 , ,9429 
PA,Pennsylvania ,105384 ,+604 ,7084 ,+5 ,22117 
NC,North Carolina ,99778 ,+1820 ,1651 , ,31003 
LA,Louisiana ,91706 ,+3116 ,3545 ,+34 ,34873 
MI,Michigan ,81868 ,+530 ,6366 ,+2 ,20340 
MD,Maryland ,78131 ,+925 ,3377 ,+9 ,69410 
TN,Tennessee ,78115 ,+1779 ,843 ,+5 ,32953 
VA,Virginia ,77430 ,+1057 ,2027 ,+2 ,65386 
OH,Ohio ,74966 ,+1107 ,3178 ,+40 ,21508 
SC,South Carolina ,69986 ,+2374 ,1155 ,+20 ,43926 
AL,Alabama ,67011 ,+1777 ,1287 ,+1 ,35988 
IN,Indiana ,56571 ,+917 ,2822 ,+2 ,13027 
CT,Connecticut ,47893 ,,4396 , ,24212 
WA,Washington ,47137 ,,1451  , ,30762 
MN,Minnesota ,46204 ,+734 ,1581 ,+3 ,4622 
MS,Mississippi ,42638 ,+792 ,1355 ,+9 ,15351 
WI,Wisconsin ,42315 ,+830 ,844 ,+1 ,9467 
CO,Colorado ,39788 ,,1752 , ,23766 
IA,Iowa ,38724 ,+683 ,794 ,+5 ,10042 
NV,Nevada ,35765 ,+1288 ,647 ,+1 ,12207 
MO,Missouri ,34461 ,,1164 , ,26309 
UT,Utah ,34117 ,+785 ,243 , ,12959 
AR,Arkansas ,32533 ,,357 , ,6884 
OK,Oklahoma ,25265 ,+209 ,451 , ,5348 
NE,Nebraska ,22481 ,,301 , ,5379 
KS,Kansas ,22223 ,,307 ,+1 ,9490 
KY,Kentucky ,22184 ,,667 , ,14693 
RI,Rhode Island ,17793 ,,990 , ,15086 
NM,New Mexico ,16736 ,,569 , ,9431 
OR,Oregon ,14579 ,+430 ,260 ,+3 ,11094 
ID,Idaho ,14302 ,,119 , ,10194 
DE,Delaware ,13519 ,+90 ,523 , ,5509 
DC,District Of Columbia ,11261 ,+67 ,578 , ,8806 
SD,South Dakota ,7906 ,+44 ,118 ,+2 ,836 
NH,New Hampshire ,6188 ,,396 , ,571 
ND,North Dakota ,5019 ,+112 ,92 ,+2 ,796 
WV,West Virginia ,4983 ,+61 , 100 , ,1256 
ME,Maine ,3687 ,+41 ,117 , ,434 
MT,Montana ,2533 ,+62 ,37 , ,1421 
WY,Wyoming ,2126 ,+18 ,25 ,+1 ,490 
AK,Alaska ,1874 ,+79 ,18 , ,1144 
HI,Hawaii ,1354 ,,24 , ,311 
VT,Vermont ,1350 ,+12 ,56 , ,169  
